ISIN | Currency | Total Buy Count | Total Sell Count | Total Buy Quantity | Total Sell Quantity | Weighted Average Buy Price | Weighted Average Sell Price | Max Buy Price | Min Sell Price
GB00B5ZN1N88	GBX	1522	1724	413091	502643	128137146.2946421	130059894.79610777	131350000	0
GB00BWFGQN14	GBX	1255	1496	25243	29239	1304061779.5032287	1314565939.3276105	1325500000	0
GB00B71N6K86	GBX	1846	1942	802601	830436	49205753.96741345	49554260.68956548	50020000	0
IE00B00MZ448	GBX	276	321	82750	77090	113687359.51661631	114860825.0097289	114900000	0
GB0030232317	GBX	170	171	82176	66627	59160924.114096574	59694724.36099479	59800000	0
GB00BLDYK618	GBX	1465	1501	411662	440844	104656666.7557365	106797154.66242027	107450000	0
GB0003308607	GBX	787	818	54551	55003	334792898.3886638	337528349.36276203	338800000	0
GB00BD3VFW73	GBX	262	242	519889	464314	18056800.932506748	18214549.84127121	18350000	0
GB0031348658	GBX	2564	2518	3390198	4105809	19913030.07139996	20773157.04943898	20545000	0
JE00BYVQYS01	GBX	243	430	275527	399763	27436012.369023725	28404848.847942404	28130000	0
GB0000811801	GBX	1687	1554	987518	571699	60487767.817903064	61856566.79476438	63340000	0
DE000BASF111	EUR	68	69	9928	519	5452842.465753425	7515000.0	5500000	0
GB00B41H7391	GBX	174	194	76785	115213	38478318.0308654	38937951.01247255	38950000	0
JE00BVRZ8S85	GBX	291	258	444870	308169	91166334.88434824	91680910.47444746	91400000	0
GG00B8P59C08	GBX	297	265	362154	218985	18426944.614721913	18724601.502386007	18660000	0
AT0000743059	EUR	12	0	108	0	4500000.0	0	4500000	0
DE000BAY0017	EUR	204	238	3468	12376	4105196.0784313725	6676648.351648352	4350000	0
DE0005190003	EUR	1	34	5	1054	9018000.0	10850000.0	9018000	0
AT0000831706	EUR	12	0	204	0	2600000.0	0	2600000	0
CH0360674466	CHF	320	458	32928	39898	6253660.714285715	6536881.171988571	6525000	0
GG00BPFJTF46	GBX	382	423	72792	86243	270746661.72106826	273745028.5820298	275500000	0
GB00B4YZN328	GBX	226	197	437221	509298	6274306.083193625	6355579.287568378	6360000	0
GB00BYT18307	GBX	164	224	26445	38786	142634637.92777464	146570932.81080803	147800000	0
GB00BLWDVP51	GBX	96	178	21722	28834	103066660.52849646	104483318.30477908	104800000	0
US69343P1057	USD	409	373	52154	107976	8525348.46799862	9759302.937689858	9378000	0
US55953Q2021	USD	213	173	67460	54184	1396546.5090423955	1413259.550789901	1422500	0
US55315J1025	USD	344	304	68251	81678	2778290.1935502775	2874651.313695242	2856000	0
US6698881090	USD	296	325	14707	18474	21409222.81906575	22985275.522355743	21900000	0
US3682872078	USD	686	797	634689	735605	800068.8400145583	906678.0870168093	872800	0
US67812M2070	USD	251	203	208836	293856	736983.5277442586	807383.9179734292	784400	0
US80585Y3080	USD	914	560	2378508	322534	1051768.2883555572	1461765.280559569	1360000	0
US7960508882	USD	593	632	6700	8991	143378276.11940297	172606662.21777332	154650000	0
US8766292051	USD	284	333	40606	77653	3861064.30084224	4476654.205246417	3939000	0
US98387E2054	USD	305	266	70392	56417	2172922.3207182633	2205584.6287466544	2220000	0
US52634T2006	USD	166	194	157936	170317	221411.97067166446	226569.1034952471	225000	0
US5603172082	USD	260	312	120902	141255	765103.89406296	776539.2623269972	801000	0
US67011E2046	USD	269	379	69542	100066	2847336.602341031	2884495.7727899584	2896000	0
US7594701077	USD	239	244	54728	61952	6169793.067533987	6377016.07696281	6270000	0
US8565522039	USD	203	283	43385	63891	6957885.444277977	7046975.943403609	7090000	0
US8688612048	USD	186	131	132272	116740	465080.11672916415	473733.1951344869	475800	0
US8181503025	USD	344	312	76320	83343	2053421.1215932914	2086130.5208595803	2092000	0
US46630Q2021	USD	275	240	1164380	980507	104164.73797213969	108946.11175646885	110200	0
DE0005158703	EUR	0	52	0	1758	0	6702662.116040955	0	0
CH0126673539	CHF	202	356	13978	29695	7339033.481184719	7797651.6248526685	7410000	0
GB0007980591	GBX	2998	4126	3071569	4190090	40124912.50237256	41748648.50874325	40845000	0
DE0005800601	EUR	0	34	0	1428	0	4750000.0	0	0
GB0002875804	GBX	2745	2489	366426	397708	319684212.36484313	330744765.88351256	324200000	0
GB0001367019	GBX	1544	1617	804808	832951	54143903.83793402	54630577.11678118	55160000	0
GB0030913577	GBX	2023	1849	3320212	2757788	18362707.756311946	19381884.762353018	19235000	0
AT0000A0E9W5	EUR	0	34	0	1258	0	1745000.0	0	0
GB00B0744B38	GBX	1484	1570	163907	181889	271732661.20421946	273726134.07077944	274800000	0
GB0031743007	GBX	1765	1661	250660	239643	187171611.94446662	190254438.68587857	189150000	0
NL0012650360	GBX	137	187	7128	12580	333914421.99775535	339126836.2480127	340200000	0
GB00BYQB9V88	GBX	161	260	163643	163011	23788078.011280652	24115986.65120759	24000000	0
AT0000908504	EUR	12	0	228	0	2370000.0	0	2370000	0
GB00B23K0M20	GBX	160	155	726337	662569	3083231.2962164944	3147790.7568872073	3170000	0
DK0010287663	DKK	25	0	2775	0	25240000.0	0	25240000	0
GB0031215220	GBX	794	807	92163	183976	134805471.82708895	138892102.12201592	137300000	0
CH0008837566	CHF	175	310	4949	8528	19475239.442311577	20172277.204502814	19700000	0
GB00B4Y7R145	GBX	210	416	649760	988351	10201104.315439546	10312387.532364514	10500000	0
CH0024590272	CHF	200	415	5057	10881	25413426.93296421	27275172.318720706	26100000	0
FR0000120172	EUR	0	68	0	3264	0	2062500.0	0	0
CH0019107025	CHF	76	77	1576	1464	19136979.69543147	19547991.80327869	19760000	0
CH0127480363	CHF	182	301	5391	7680	16429367.46429234	16673830.729166666	16960000	0
