ISIN	Currency	Total Buy Count	Total Sell Count	Total Buy Quantity	Total Sell Quantity	Weighted Average Buy Price	Weighted Average Sell Price	Max Buy Price	Min Sell Price
CH0010570759	CHF	76	88	76	88	1.0781052631578947E10	1.1051363636363636E10	11020000000	10960000000
IM00B7S9G985	GBX	63	80	46124	63072	6.424326164252883E7	6.5510299340436324E7	65950000	63950000
GB0007873697	GBX	50	67	19283	20293	5.063549240263444E7	5.1578790716010444E7	51200000	51000000
GB00B82YXW83	GBX	34	45	17350	18413	4.565530144092219E7	4.628948677564764E7	46180000	45760000
CH0019396990	CHF	41	52	1487	1897	1.7360363147276394E7	1.762696889826041E7	17560000	17480000
CH0012214059	CHF	480	535	42559	57191	5007993.561878803	5243825.916665209	5120000	5096000
CH0025238863	CHF	114	116	2478	2389	2.5730694108151734E7	2.594010883214734E7	26120000	25670000
GB00B3FLWH99	GBX	45	62	16502	24018	7.984925766573748E7	8.350156341077526E7	80700000	80150000
FR0010869495	EUR	10	10	2781000	2558950	141270.0	141738.66898532602	141880	141000
GB00BMXWN182	GBX	63	66	159172	129330	1.1897902646194054E7	1.2128003092863219E7	12080000	11980000
GB00B6YTLS95	GBX	25	43	57511	79105	8870268.20955991	9116247.266291637	9005000	8955000
US8688612048	USD	35	37	25524	37025	456945.52577965835	465455.5192437542	462600	458400
FI4000297767	SEK	0	4	0	40	0.0	1.0933E7	0	10870000
GB00BYQ46T41	GBX	45	49	90551	101737	1.4554312597320847E7	1.4708943648819996E7	14640000	14620000
CH0406705126	CHF	52	71	2054	2164	1.1345735150925023E7	1.2093040665434381E7	11520000	11340000
CH0002497458	CHF	292	271	612	386	2.604109477124183E8	2.6705829015544042E8	266500000	265300000
GB00BYQ0JC66	GBX	48	44	43151	31830	4.977194039535584E7	5.034965221489161E7	50260000	49730000
GB00B3DGH821	GBX	36	49	60832	73982	1.234911592582851E7	1.2591616339109514E7	12540000	12360000
SE0005466513	SEK	11	11	115500	115500	2245409.090909091	2258636.3636363638	2253500	2247000
IE00B0M63060	GBX	14	0	7745	0	7.728026339573918E7	0.0	79320000	0
USY5217N1183	USD	40	43	8408	8980	2557303.7583254045	2606534.521158129	2580000	2580000
GB0004544929	GBX	609	562	122396	107216	1.6990782337658092E8	1.7609508002536935E8	173250000	172000000
FI0009013403	EUR	0	3	0	15	0.0	5590666.666666667	0	5586000
IT0004965148	EUR	11	11	286	88	5280000.0	7870000.0	5280000	7870000
IE00BD1RP616	EUR	39	51	19215	18011	613705.8548009368	627575.337293876	618400	616600
JE00BYVQYS01	GBX	47	92	59156	88570	2.7684170836432483E7	2.801929264988145E7	28150000	27640000
GB00B41H7391	GBX	29	45	21158	24184	3.930647745533604E7	3.977451414158121E7	39800000	39300000
DE0007165631	EUR	0	11	0	209	0.0	5.5E7	0	55000000
GB0007913485	GBX	43	63	44335	71293	2.053503101387166E7	2.1101805226319555E7	20600000	20800000
GB00BY7QYJ50	GBX	48	60	15839	23788	7.901320159100953E7	7.975914746931227E7	80500000	79000000
GB00B6XZKY75	GBX	53	41	20181	23322	5.160955354045885E7	5.244810050596004E7	52200000	51800000
GB00B128J450	GBX	55	44	123252	108648	9772912.975043	9878058.776967824	9830000	9820000
GB00BYN59130	GBX	26	48	21535	38527	3.911754539122359E7	3.964360059179277E7	39380000	39280000
CH0360674466	CHF	101	118	10093	11042	6308294.857822253	6629315.341423655	6555000	6505000
GB00B4YZN328	GBX	38	31	124106	124520	6480803.34552721	6563633.552842917	6540000	6520000
GB00B2B0DG97	GBX	626	809	101420	142676	2.2731891638730034E8	2.2989349925705793E8	230400000	228400000
DE0007037129	EUR	12	0	5197	0	2700988.070040408	0.0	3727000	0
IE0031442068	GBX	7	1	4370	623	3.3379270022883296E8	3.3425E8	334100000	334250000
FR0000120321	EUR	0	11	0	88	0.0	4.65E7	0	46500000
GB00BMMV6B79	GBX	44	69	19184	19152	6.929588719766472E7	7.058805346700084E7	70000000	70000000
GB0003096442	GBX	481	580	110168	141334	1.1069605148500472E8	1.120816859354437E8	111900000	111000000
NL0009767532	EUR	6	0	2400	0	5730000.0	0.0	5730000	0
IE00B4QNK008	GBX	11	11	137500	137500	4.092181818181818E7	4.096863636363637E7	41075000	40785000
GB0003395000	GBX	40	47	16041	17423	3.838531575338196E7	3.9035283820237614E7	38750000	38650000
FR0010655761	EUR	0	2	0	78	0.0	2.308E7	0	23065000
GB0030232317	GBX	104	35	30841	12741	5.958111280438378E7	6.032540224472176E7	60000000	59800000
GB00BZ4BQC70	GBX	245	292	38049	45473	1.869749783174328E8	1.884036241286038E8	188350000	186750000
MISSING	MISSING	8	4	13600	6800	4007012.5	4011200.0	4010900	4009600
DE000ENER6Y0	EUR	0	11	0	737	0.0	2600000.0	0	2600000
ES0178430E18	EUR	16	33	722	1034	397762.5346260388	426148.93617021275	420850	425000
GG00B3KX4Q34	GBX	35	29	113637	93547	8773039.238980262	8965735.085037468	8840000	8880000
ES0105066007	EUR	0	11	0	55	0.0	5560000.0	0	5560000
GB0005576813	GBX	190	261	51589	60633	8.11003209986625E7	8.206361057509936E7	82260000	81500000
GB00BNR4T868	GBX	27	72	10872	26924	6.523585356880059E7	6.65098610904769E7	66500000	65000000
GB00B8C3BL03	GBX	548	552	196567	193096	7.192225042860705E7	7.24449289472594E7	72620000	72020000
SE0000108227	SEK	0	1	0	5	0.0	2.001E7	0	20010000
GG00B1NP5142	GBX	51	39	5320	4078	3.7128571428571427E8	3.8841098577734184E8	380000000	380000000
GB00B2NGPM57	GBX	51	61	13803	17240	5.747328479316091E7	5.818266821345708E7	57900000	57750000
GB0009064097	GBX	71	59	40915	40687	4.8045873151655875E7	4.8821006709759876E7	48650000	48400000
DE000EVNK013	EUR	11	0	187	0	2700000.0	0.0	2700000	0
GB0006886666	GBX	26	28	8712	9297	9.180663452708907E7	9.298482306120254E7	92700000	92400000
GB00BG12Y042	GBX	18	40	6373	10332	9.039305664522202E7	9.531108691444057E7	91750000	90700000
GB0002418548	GBX	24	21	46177	40098	1.3961484288715161E7	1.4181927527557485E7	14070000	14060000
GB00B1N7Z094	GBX	54	48	13441	16892	1.2814880589241871E8	1.2932332465072224E8	129400000	128200000
GB00BRS65X63	GBX	30	86	47693	103930	2.21047092864781E7	2.3482585778889637E7	22420000	22000000
DE0005190003	EUR	0	11	0	55	0.0	1.082E7	0	10820000
CH0212255803	CHF	39	34	3017	2344	6292638.382499171	6715699.658703072	6340000	6360000
CH0030170408	CHF	350	374	3065	2845	6.103190212071778E7	6.413176801405975E7	62440000	62140000
GB00BKRC5K31	GBX	23	63	13837	25884	5.72485798944858E7	5.789989182506568E7	58200000	56800000
GG00B8P59C08	GBX	19	12	30396	24918	1.9251942360836953E7	1.961429568986275E7	19480000	19480000
DE0005933923	EUR	6	18	192	576	2.8015E7	2.8705E7	28015000	28675000
