ISIN	Currency	Total Buy Count	Total Sell Count	Total Buy Quantity	Total Sell Quantity	Weighted Average Buy Price	Weighted Average Sell Price	Max Buy Price	Min Sell Price
GB00BGXQNP29	GBX	473	576	160759	192201	6.651851380016049E7	6.733325716307408E7	66980000	66700000
GB00BJHPLV88	GBX	48	49	40460	34474	2.5775802273850717E7	2.616544932412833E7	26180000	25860000
DE000A13SX22	EUR	11	0	275	0	5560000.0	0.0	5560000	0
GB00BJTNFH41	GBX	19	51	59502	85740	9873428.20409398	1.0001726673664568E7	10110000	9730000
GB0007366395	GBX	64	60	13360	8852	2.6237840568862274E8	2.654097379123362E8	264500000	264000000
GB00B02J6398	GBX	542	527	49316	48324	3.045233129207559E8	3.077117312308584E8	309000000	305600000
CH0244017502	CHF	51	61	342	405	1.1243391812865497E8	1.1984148148148148E8	119800000	118200000
DE0005140008	EUR	33	22	2772	792	1027166.6666666666	1480000.0	1080000	1320000
GB0004052071	GBX	420	541	48275	62508	2.4912422371828067E8	2.5122379855378512E8	252000000	248900000
SE0000695876	SEK	11	0	935	0	2.48E7	0.0	24800000	0
GB0005758098	GBX	318	290	107770	163445	7.445534582908045E7	7.517299262748937E7	74920000	74580000
MISSING	MISSING	0	1	0	348	0.0	2736000.0	0	2736000
AT0000KTMI02	CHF	58	58	3084	3030	9442762.645914396	9591399.339933993	9540000	9480000
GB00BK1PKQ95	GBX	49	52	47116	49964	3.211045504711775E7	3.2479257065086864E7	32400000	32200000
GB00B1YKG049	GBX	47	18	62139	38709	1.1849430148537954E7	1.2407305277842361E7	12300000	12240000
GB0008794710	GBX	49	68	6932	9391	1.5419489324870166E8	1.571148546480673E8	156200000	154600000
GB00BMJ6DW54	GBX	471	403	199868	165568	5.4270991454359874E7	5.484178005411674E7	54860000	54080000
GG00BV54HY67	GBX	50	65	166567	186370	1.032458842387748E7	1.0485482534742717E7	10400000	10420000
MISSING	MISSING	0	4	0	272	0.0	1.3136E7	0	13127000
ES0130625512	EUR	0	11	0	550	0.0	287000.0	0	287000
IE00B5BMR087	GBX	6	4	360	240	3.4213333333333335E9	3.4255E9	3425500000	3418500000
GB00B10RZP78	GBX	797	925	101387	108950	3.7801666387209404E8	3.822270954566315E8	380850000	378200000
CH0024638212	CHF	70	88	2382	2736	2.293238455079765E7	2.330872807017544E7	23300000	23100000
GB0002945029	GBX	27	16	32060	19432	4.83041547099189E7	4.95425689584191E7	48800000	49300000
IE00BWY4ZF18	GBX	54	69	107631	312607	1.0572376545790711E7	1.0831545102956748E7	10660000	10640000
GB00BDR05C01	GBX	736	681	195927	178720	1.0820704333756961E8	1.1034659478513877E8	110400000	109900000
GB00B4Y7R145	GBX	55	58	155618	172790	1.0240329846161755E7	1.0363677874877019E7	10360000	10240000
GB00BDFGHW41	GBX	43	43	72469	86189	2.2226672094274793E7	2.2823011057095453E7	22600000	22550000
GG00BBHX2H91	GBX	50	47	207851	190430	1.3195782363327576E7	1.3321317334453605E7	13260000	13260000
LU0292106241	EUR	10	10	206196	267713	1371458.5462375605	1373698.8999413552	1373600	1370000
SE0000412371	SEK	11	0	32098	0	8200000.0	0.0	8200000	0
GB00BDCXV269	GBX	79	77	168616	150973	1.3991869128671063E7	1.4257461036079299E7	14115000	14035000
SE0005190238	SEK	0	3	0	24	0.0	1.3685E7	0	13675000
DE0002635307	EUR	11	0	66	0	4500000.0	0.0	4500000	0
GB0008025412	GBX	37	39	141516	146448	4058663.543344922	4124593.3983393423	4102000	4082000
GB00BDHXPG30	GBX	41	47	49320	52832	1.759126824817518E7	1.7989701317383405E7	17850000	17600000
GG00B4L0PD47	GBX	27	45	7070	11469	7.78073550212164E7	7.896302205946465E7	78300000	78300000
GB00B17BBQ50	GBX	50	61	33287	48059	4.3529974464505665E7	4.40690517905075E7	43940000	43710000
FR0007054358	EUR	11	11	12100	12100	4168181.8181818184	4174863.6363636362	4180000	4164000
GB00BY2Z0H74	GBX	18	26	21254	24065	2.533517220287946E7	2.5785507999168918E7	25600000	25500000
GB0008711763	GBX	81	60	60586	38139	2.3738917406661604E7	2.4336103463646136E7	24000000	24050000
CH0108503795	CHF	82	229	1204110	3749466	32761.357101925903	41885.44779976668	34460	33760
IE00B5BMR087	USD	51	24	2579	2360	4.613588677782086E7	4.6428593220338985E7	46460000	46326000
CH0276837694	CHF	74	40	21705	13643	1381439.6682791982	1489438.6865059005	1480000	1478000
DE0005470405	EUR	0	11	0	176	0.0	6914000.0	0	6914000
ES0173093024	EUR	4	0	24	0	1793500.0	0.0	1795500	0
SE0000108656	SEK	2	0	21	0	1.1507714285714285E7	0.0	11512000	0
GB00B19Z1432	GBX	22	32	36076	44268	1.911397937687105E7	1.9376341375259783E7	19220000	19260000
GB0001859296	GBX	72	84	25118	21323	1.0492194044111793E8	1.067594709937626E8	105850000	105200000
GB00BF4HYT85	GBX	71	118	13333	32888	1.434284407110178E8	1.5547335806373146E8	149200000	147600000
SE0007100599	SEK	2	0	22	0	1.00275E7	0.0	10040000	0
GB0003385308	GBX	57	73	6684	7764	3.080795182525434E8	3.128440880989181E8	311500000	309000000
CH0024608827	CHF	443	518	1534	1650	1.2625638852672751E8	1.3611487878787878E8	130750000	130500000
DE0005557508	EUR	44	11	10362	2651	1249946.9214437366	1900000.0	1550000	1900000
GB0001638955	GBX	21	21	6626	6714	8.931196800482947E7	9.073699731903486E7	90050000	89950000
FR0010405431	EUR	3	1	9996	8651	105000.0	106120.0	105000	106120
CH0130293662	CHF	90	63	5544	4064	1.0757893217893219E7	1.1208587598425196E7	11100000	11060000
CH0239229302	CHF	68	64	2710	2340	1.30630036900369E7	1.4291923076923076E7	13590000	13530000
DE0005785802	EUR	0	22	0	506	0.0	6639565.217391305	0	6470000
JE00B4T3BW64	GBX	882	1074	735830	926999	3.988173989236645E7	4.0842929933042E7	40475000	40050000
IE00B1XNH568	EUR	6	6	3378	3378	1617200.0	1654200.0	1617200	1654200
FI0009002422	EUR	0	1	0	17	0.0	595800.0	0	595800
FR0000031122	EUR	0	11	0	2233	0.0	541000.0	0	541000
IE0004906560	EUR	82	80	3952	3854	1.1010392206477733E7	1.1258914115204982E7	11145000	11095000
US3682872078	EUR	0	11	0	10483	0.0	889000.0	0	889000
GB00B60BD277	GBX	36	21	33176	29724	1.9142926211719315E7	1.9445808101197686E7	19400000	19160000
GB0006731235	GBX	597	598	79937	86405	1.953000531668689E8	2.0065480585614258E8	197800000	195650000
GB0031743007	GBX	499	592	67264	77448	1.8932982799119887E8	1.9180971942464623E8	190550000	189600000
CH0022427626	CHF	39	55	101	226	2.2387623762376237E8	2.3217477876106194E8	232000000	229500000
GB0006825383	GBX	449	506	55946	64405	2.4068819218532157E8	2.427409300520146E8	242000000	241200000
LU0274211480	EUR	10	10	26000	26000	1.48624E7	1.48722E7	14902000	14840000
GB0003052338	GBX	75	63	43980	38392	6.386542291950887E7	6.47039669722859E7	64300000	64300000
GB00B135BJ46	GBX	41	39	7172	7095	1.3776409648633575E8	1.392829598308668E8	139400000	138000000
CH0033361673	CHF	52	72	3161	4820	6472233.470420753	6998144.190871369	6565000	6490000
SE0005466505	SEK	11	11	202400	202400	1284345.4545454546	1289836.3636363635	1290800	1280000
DE0006599905	EUR	22	11	517	462	1.754340425531915E7	2.694E7	17840000	26940000
LU0252634307	EUR	11	11	31900	31900	1.3464545454545455E7	1.3522727272727273E7	13534000	13462000
GB0009465807	GBX	167	285	19871	30330	1.731963640481103E8	1.746568710847346E8	174250000	173600000
CH0005795668	CHF	35	51	481846	839829	30802.66537441423	35382.9815950628	31250	31000
GG00BYV2ZQ34	GBX	34	42	80696	91963	8942058.590264697	9087807.922751542	9010000	9020000
GB0009039941	GBX	41	46	42772	49100	2.569247872439914E7	2.6045752545824848E7	26250000	25700000
DE000BAY0017	EUR	66	110	4697	12221	4696105.386416862	6788613.861386139	4920000	5500000
US5591892048	USD	69	58	20246	17618	1033671.935197076	1054097.740946759	1050000	1040000
GB0007669376	GBX	507	496	82383	80867	1.5446537635191727E8	1.5568117340818876E8	155750000	154550000
GG00BR30MJ80	GBX	39	54	11135	16324	2.749201616524472E8	2.8036464714530754E8	278500000	277000000
CH0127480363	CHF	44	69	1298	2067	1.6774907550077042E7	1.6972844702467345E7	16990000	16820000
LU0411075020	EUR	10	10	2098682	2581798	137220.28937209162	137426.59563606448	137780	136720
LU0252633754	EUR	8	10	21550	14603	1.4518264501160093E7	1.4534728754365541E7	14558000	14502000
GB00BNYK8G86	GBX	252	224	85648	84133	3.85482355688399E7	3.919909452890067E7	39520000	38520000
GB0009123323	GBX	81	46	9029	5513	2.967530845054823E8	3.003427534917468E8	300000000	297200000
GB00B23K0M20	GBX	24	37	179220	238514	3147525.549603839	3197342.524967088	3207000	3146000
FR0000121261	EUR	0	11	0	55	0.0	1.72E7	0	17200000
LU0252633754	EUR	10	10	26975	27000	1.4517412418906394E7	1.45404E7	14558000	14502000
GB00BGLP8L22	GBX	221	269	36652	41544	1.6669349012332207E8	1.6833690063547084E8	168700000	166600000
GB00B24CGK77	GBX	699	816	33409	39753	6.024611152683408E8	6.121763590169295E8	609100000	603100000
GB00B14SKR37	GBX	48	55	52708	24403	2.318825320634439E7	2.371221366225464E7	23500000	23450000
JE00B6173J15	GBX	41	73	83016	131764	1.0396481401175678E7	1.0526413587929936E7	10540000	10360000
CH0012549785	CHF	51	96	1380	1819	3.363632608695652E7	3.474877405167674E7	33970000	33550000
GB0004270301	GBX	30	50	5825	6473	1.49643330472103E8	1.5158828981924918E8	152200000	149800000
MISSING	MISSING	4	4	848	848	4248500.0	4255750.0	4257000	4234500
GB00BWFGQN14	GBX	358	535	6435	9624	1.3284729603729603E9	1.3409703345802162E9	1342500000	1326000000
DE000ENAG999	EUR	11	11	1254	1001	977000.0	1258000.0	977000	1258000
GB00BL9YR756	GBX	236	268	74888	88339	5.732313908770431E7	5.8216507771199584E7	59220000	56760000
GB00B1QH8P22	GBX	30	46	13750	12417	7.377529454545455E7	7.460461061448015E7	74600000	73950000
GB0002318888	GBX	71	54	5452	3746	3.7262439471753484E8	3.765530699412707E8	376400000	372200000
CH0043238366	CHF	109	140	357044	578022	102076.92105174712	119253.8126576497	108000	106400
IE0005042456	GBX	23	13	78878	81522	7.4084192423743E7	7.416354186599936E7	74270000	74030000
AT0000A21KS2	EUR	10	0	3903	0	2305537.2790161413	0.0	2306000	0
GG00BJL5FH87	GBX	24	23	61955	55963	1.0652199499636833E7	1.0878477922913354E7	10740000	10780000
JE00B55Q3P39	GBX	41	78	82021	130312	1.4458768851879397E7	1.5306243170237584E7	14740000	14660000
CH0011108872	CHF	39	68	925	2019	3.0171135135135137E7	3.1036428925210502E7	30400000	30300000
LU0274211480	EUR	10	10	26000	26000	1.48458E7	1.48844E7	14888000	14860000
GB0033195214	GBX	456	567	360884	439867	3.2834251144412056E7	3.318049303539479E7	33240000	32780000
GB00BYX7JT74	GBX	35	62	91684	163278	1.062192203656036E7	1.0892303923369957E7	10700000	10680000
SE0000114837	SEK	0	12	0	2656	0.0	2.869030496987952E7	0	23550000
SE0003051010	SEK	11	11	2200	2200	1.455018181818182E8	1.460109090909091E8	146560000	145140000
CH0126881561	CHF	357	294	19805	19480	9816899.01540015	1.0334686601642711E7	10215000	10155000
GB0002652740	GBX	65	61	7950	7376	3.376976729559748E8	3.409733459869848E8	340000000	338300000
GB00BDSFG982	EUR	16	80	33983	112341	580349.6748374187	583867.2470424867	594200	574600
BMG702782084	GBX	55	23	94161	61063	8269757.118127462	8741570.181615708	8550000	8650000
GB00BG49KP99	GBX	466	435	607274	537239	2.4091333269660812E7	2.444239327375712E7	24400000	24240000
DK0060542181	DKK	0	3	0	18	0.0	1.3456666666666666E7	0	13440000
DE000A14KEB5	EUR	11	0	12947	0	820000.0	0.0	820000	0
GB00BKLXD974	GBX	37	46	50753	57298	1.6201999881780388E7	1.6473346364620056E7	16320000	16320000
CH0023405456	CHF	62	81	7937	12623	4507187.476376465	4913801.711162164	4668000	4632000
LU0252633754	EUR	10	9	27000	11843	1.45158E7	1.4528723465338174E7	14558000	14508000
GB00BYZN9041	GBX	249	169	19647	15782	3.218212042551026E8	3.267357242428083E8	331200000	313600000
CH0012032113	CHF	133	151	2409	7289	3.481046907430469E7	3.964015091233365E7	37660000	37420000
CH0012138605	CHF	178	173	16237	17159	4310674.50883784	4714376.129145055	4477000	4460000
IE0031442068	EUR	13	16	22100	27200	4007038.4615384615	4009937.5	4010500	4004000
GB00BJTRSD38	GBX	50	35	96189	75949	2.3721692709145535E7	2.429018815257607E7	23950000	24000000
JE00B8KF9B49	GBX	498	428	150342	124109	1.1736313006345533E8	1.182394870637907E8	118700000	117450000
FR0000120404	EUR	11	0	275	0	2150000.0	0.0	2150000	0
DE0008404005	EUR	11	22	374	1771	2.15E7	2.521745341614907E7	21500000	23830000
GB00BD3VFW73	GBX	48	56	105049	114492	1.7870616188635778E7	1.8088181619676486E7	18070000	17960000
DE000BASF111	EUR	23	44	555	4356	5052108.108108108	7198737.373737373	6780000	6900000
NL0000235190	EUR	0	11	0	132	0.0	1.25E7	0	12500000
DE0006602006	EUR	11	0	462	0	3750000.0	0.0	3750000	0
LU1072616219	GBX	413	479	164951	195347	5.7579781147128545E7	5.805596584539307E7	58340000	57580000
IE00B3XXRP09	USD	34	24	17545	17310	8608992.305500142	8617846.44714038	8627000	8601000
GB00BDFBVT43	GBX	33	53	14152	14959	8.080276992651215E7	8.484163379905073E7	84000000	83300000
GB0032089863	GBX	459	542	14568	17114	7.461703322350357E8	7.527201238751899E8	754200000	745200000
GB00B63H8491	GBX	603	759	1076150	1465186	1.1335571983459555E7	1.1980764943153976E7	11598000	11534000
GB0004657408	GBX	43	46	166959	143252	6139386.436190921	6235864.490548125	6200000	6170000
IE0003864109	GBX	18	37	48716	74471	1.2523745176122835E7	1.2708879295296155E7	12600000	12600000
US52634T2006	USD	44	54	45097	49604	218339.61239106813	223600.68744456093	221000	220500
ES0130670112	EUR	0	22	0	121	0.0	2608181.8181818184	0	2450000
DE0005933972	EUR	0	6	0	1746	0.0	3219250.0	0	3219000
CH0010645932	CHF	490	480	755	716	3.7799470198675495E8	4.0424608938547486E8	387700000	385600000
IE00B4L5Y983	GBX	0	2	0	660	0.0	6.3105E8	0	630700000
GB00B8VZXT93	GBX	38	25	23895	19992	3.3175642603055034E7	3.361049619847939E7	33560000	33260000
CH0011795959	CHF	63	104	720	1245	4.9182152777777776E7	5.359156626506024E7	53150000	52400000
MISSING	MISSING	1	0	203	0	1.277E7	0.0	12770000	0
FI0009000681	EUR	1	1	19	21	514900.0	522900.0	514900	522900
CH0582581713	CHF	52	119	1889	3245	2.265230280571731E7	2.577115562403698E7	24200000	24000000
CH0012255144	CHF	85	105	12874	12379	4880670.343327637	5762960.659180871	5165000	5145000
CH0011075394	CHF	511	428	9551	8547	4.380674274945032E7	4.452180297180297E7	44450000	44320000
CH0022268228	CHF	58	37	37143	23043	653884.7965969362	719416.6124202578	713000	713000
DE000KSAG888	EUR	0	22	0	253	0.0	2028173.9130434783	0	1944000
GB00B188SR50	GBX	68	71	350393	247513	1.6836991606567483E7	1.6981904304016355E7	16940000	16880000
GB0031348658	GBX	626	808	916585	1393185	2.0345554113366462E7	2.1289691081945326E7	20640000	20390000
GG00BFYT9H72	GBX	43	79	105997	300493	1.1475074577582384E7	1.2184269184307123E7	11600000	11580000
CH0017875789	CHF	25	51	679	1670	1.2984830633284241E7	1.5042694610778444E7	14460000	14500000
GB0004478896	GBX	29	54	31999	41030	2.226321291290353E7	2.272637460394833E7	22600000	22350000
GB0002875804	GBX	1016	838	129828	115840	3.1202993730166066E8	3.285514912810773E8	320050000	318600000
GB0004082847	GBX	538	621	304504	518624	5.487043165278617E7	5.876428506972296E7	55460000	55020000
GB0008754136	GBX	297	294	139927	106749	7.238516940976366E7	7.379574159945293E7	73800000	73260000
ES0113211835	EUR	0	2	0	36	0.0	560580.5555555555	0	558100
GB0007918872	GBX	56	68	23863	27668	5.579028621715627E7	5.680809960965737E7	56500000	56300000
IE00BZ12WP82	EUR	22	0	1441	0	2.583587786259542E7	0.0	26500000	0
ES0148396007	EUR	0	23	0	127	0.0	3176913.3858267716	0	2638000
GB00BJFFLV09	GBX	530	607	14938	17345	7.975398982460839E8	8.039543845488614E8	808200000	796600000
GB00BKZGVH64	GBX	38	48	26616	36938	7.297564247069432E7	7.439132600573935E7	73600000	73400000
CH0010675863	CHF	53	74	2895	4454	1.5978300518134715E7	1.7054185002245173E7	16240000	16000000
GB00BN44P254	GBX	31	42	27449	31282	1.8284585959415644E7	1.862378684227351E7	18400000	18500000
GB0007099541	GBX	516	543	143968	161539	1.2379082400255613E8	1.2628651254495819E8	124500000	123950000
GB0006215205	GBX	66	51	131977	154936	2.50302681527842E7	2.903103345897661E7	25560000	25240000
CH0225173167	CHF	83	166	5756	19337	6272180.333564975	7177446.863525883	6405000	6360000
GB00B29H4253	GBX	43	43	25608	36476	3.664496641674477E7	3.709638118214717E7	37100000	36650000
GB00BL6K5J42	GBX	21	16	2821	3819	1.5096082949308756E8	1.6908549358470803E8	167500000	168500000
BE0974293251	EUR	0	33	0	462	0.0	6074000.0	0	6022000
GB00B033F229	GBX	268	296	689515	868364	7591660.372870786	8111241.131599192	7658000	7608000
GB00BF5H9P87	GBX	38	41	10903	12011	7.490240300834633E7	7.580723503455167E7	75500000	75350000
GB0003718474	GBX	57	60	2944	3331	8.212595108695652E8	8.304321525067548E8	833500000	821500000
GG00B1W3VF54	GBX	104	119	225992	232096	1.3395643474105278E7	1.352433475803116E7	13500000	13420000
ES0144580Y14	EUR	0	11	0	330	0.0	1202000.0	0	1202000
ES0183746314	EUR	0	11	0	55	0.0	9480000.0	0	9480000
JE00BJ1DLW90	GBX	53	128	106078	165739	1.9481411225701842E7	2.017405251630576E7	19730000	19455000
GB00B0H2K534	GBX	86	65	135258	136426	1.1510128864836091E7	1.201183396126838E7	11830000	11560000
GB00B1FW5029	GBX	57	88	170968	235144	9908735.143418651	1.1249611387064947E7	10280000	10180000
GG00BYXVT888	GBX	40	79	21407	24146	5.097882001214556E7	5.2546782075706124E7	51500000	51600000
AT0000A0E9W5	EUR	0	11	0	407	0.0	1745000.0	0	1745000
FR0000120222	EUR	37	11	307500	594	2180447.1544715445	2190000.0	2181000	2190000
GB0001048619	GBX	53	36	141512	132403	8231212.865340042	8371649.433925213	8350000	8285000
JE00BN574F90	GBX	176	235	7351	8985	4.3005918922595567E8	4.34520856983862E8	433500000	431600000
GB00B0744B38	GBX	432	528	44930	58425	2.733433207211217E8	2.751792297817715E8	276500000	272800000
CH0042615283	CHF	131	80	8590	3939	1.894062980209546E7	2.0344516374714393E7	20500000	20050000
GB00BF448H58	GBX	81	95	61182	46882	1.8675342094079956E7	1.8979226142229427E7	18860000	18780000
NL0015000MZ1	EUR	0	1	0	189	0.0	75380.0	0	75380
GB00BBG9VN75	GBX	498	492	37179	34263	2.8935245165281475E8	2.919619852318828E8	293700000	288400000
DE000A1J5RX9	EUR	0	2	0	78	0.0	260000.0	0	259500
CH0024590272	CHF	55	106	1207	3579	2.5709610604805302E7	2.8622324671696004E7	25950000	25750000
GB00B1V9NW54	GBX	40	50	7963	8884	1.0433944493281427E8	1.0639025213867627E8	105200000	104800000
IE00B53SZB19	EUR	22	25	4400	5000	7.414818181818181E7	7.4248E7	74250000	74120000
CH0008742519	CHF	370	265	4618	2567	5.200230402771763E7	5.333638488507986E7	53420000	52500000
SE0000115446	SEK	1	0	5	0	2.0985E7	0.0	20985000	0
DK0060738599	DKK	0	1	0	5	0.0	2.963E7	0	29630000
GB00B012TP20	GBX	15	41	16446	96887	3.16867481454457E7	3.872851239072321E7	32000000	31760000
IM00B5VQMV65	GBX	462	527	68744	78948	1.6079354198184568E8	1.6203544674975935E8	162150000	160500000
CH0010754924	CHF	41	52	183	276	1.2222076502732241E8	1.2412753623188406E8	123000000	122800000
GB00BD45SH49	GBX	52	43	23179	17019	4.861109797661676E7	4.91267994594277E7	49000000	48680000
US7960502018	USD	48	41	396	335	1.3312550505050506E8	1.3959343283582088E8	139200000	139000000
GB00BNKVP754	GBX	35	23	144866	79346	1.0751940413899742E7	1.0879408968315983E7	10802000	10800000
LU0603940916	EUR	12	7	7320	4270	1424100.0	1462257.142857143	1424200	1448200
CH0038863350	CHF	1021	812	75179	54725	1.1605879381210178E7	1.2275200950205574E7	12086000	12002000
US8766292051	USD	63	82	8944	20918	3787090.11627907	4584969.786786499	3840000	3765000
GB00B1L5QH97	GBX	33	61	34623	55427	1.582598388354562E7	1.6270792574016273E7	15960000	15880000
GB0007973794	GBX	81	88	169438	152694	1.359346846634167E7	1.376181159705031E7	13690000	13630000
GB00BNNTLN49	GBX	435	449	114468	118353	1.0803042072893734E8	1.0951996485091211E8	109400000	108600000
IE0032077012	EUR	22	22	8800	8800	3.2105454545454547E7	3.216409090909091E7	32155000	32100000
GB0003450359	GBX	30	31	13560	11122	8.07373598820059E7	8.178110052148893E7	81100000	81100000
US5603172082	USD	86	97	42071	42853	789794.3476504005	800509.3692390264	805000	784000
FR0000125007	EUR	0	11	0	297	0.0	6750000.0	0	6750000
DE0005810055	EUR	11	0	88	0	1.3E7	0.0	13000000	0
US01609W1027	EUR	34	63	2480	4360	1.0620806451612903E7	1.0705688073394496E7	10660000	10660000
LU2197908721	EUR	2	0	132	0	1.3688E7	0.0	13688000	0
GB0001639920	GBX	33	61	2995	5030	3.626896494156928E8	3.7141491053677934E8	365500000	365500000
IL0010849045	GBX	18	23	76327	100457	5316059.585729821	5422284.061837403	5750000	5210000
CH0025751329	CHF	441	518	21432	30970	7440861.888764464	8003536.325476267	7536000	7434000
GB00B1ZBKY84	GBX	76	77	112432	120050	2.0150811957449835E7	2.0674747188671388E7	20320000	20220000
ES0173908015	EUR	0	11	0	1947	0.0	83000.0	0	83000
GB0000811801	GBX	531	538	303976	193163	6.154851001394847E7	6.354213405258771E7	63560000	62940000
DE000ETFL060	EUR	10	10	59000	59000	6562100.0	6583000.0	6583000	6568000
DE0005785604	EUR	11	11	319	154	3100000.0	4500000.0	3100000	4500000
MISSING	MISSING	6	1	5400	900	7628400.0	7640900.0	7635100	7640900
GB00BWXC7Y93	GBX	62	54	45744	41829	3.0098025970619097E7	3.0931827201224033E7	30650000	30700000
GB00BLDRH360	GBX	104	47	33707	29001	5.562063517963628E7	5.629632426468053E7	55950000	55850000
IE00BDC5DG00	GBX	55	56	32569	24720	4.324392520494949E7	4.437178802588997E7	43900000	43400000
CH0198251305	GBX	501	493	62379	60844	2.499547219416791E8	2.519701613963579E8	252400000	250600000
US7496552057	USD	64	47	16611	10851	1360060.8030822948	1404268.9153073449	1400000	1390000
FR0000073272	EUR	0	11	0	77	0.0	1.23E7	0	12300000
ES0109067019	EUR	0	11	0	55	0.0	7240000.0	0	7240000
IE00BMW3QX54	EUR	20	16	42923	33046	2186060.130932134	2194785.601888277	2190500	2188500
FR0010468983	EUR	11	11	13200	13200	3827545.4545454546	3831545.4545454546	3850500	3812000
US6698881090	USD	94	100	5272	5908	2.070732928679818E7	2.2498334461746786E7	20900000	20590000
CH0003671440	CHF	64	80	1741	2796	1.8113141872487076E7	1.9333633762517884E7	18720000	18540000
CH0126673539	CHF	55	87	3569	6831	7436466.797422247	7947023.861806471	7490000	7470000
ES0105223004	EUR	1	0	25	0	411600.0	0.0	411600	0
SE0000115420	SEK	1	0	5	0	2.122E7	0.0	21220000	0
GB00B0N8QD54	GBX	86	78	25584	40397	9.226849984365228E7	9.576725746961407E7	93300000	92950000
CH0319416936	CHF	100	101	2933	4848	1.6979198772587795E7	1.7738805693069305E7	17180000	17100000
BMG4593F1389	GBX	43	56	15053	17958	9.806836245266724E7	9.989488250361955E7	98960000	98620000
US7594701077	USD	60	33	11421	9212	6123965.064355135	6333562.744246635	6320000	6305000
GB00B7KR2P84	GBX	241	339	163606	142408	6.052548916298913E7	6.40024801977417E7	63680000	62820000
IE0008471009	EUR	11	11	12100	12100	4266045.454545454	4272136.363636363	4275500	4259500
CH0102484968	CHF	102	105	11345	10528	5482135.2137505505	5709802.241641337	5598000	5578000
GB00BCKFY513	GBX	18	13	140471	115480	3959764.9336873805	4031333.2611707654	4010000	3995000
GB0031638363	GBX	410	496	21871	26523	5.2943320378583515E8	5.3412153979564905E8	534400000	530600000
CH0011693600	CHF	37	45	422	601	4.1259123222748816E7	4.1932529118136436E7	41550000	41550000
SE0015811559	SEK	0	1	0	5	0.0	3.901E7	0	39010000
GB0008220112	GBX	527	580	271459	303156	3.71776567363764E7	3.748649668817375E7	37500000	37260000
GB00B132NW22	GBX	68	50	65308	55772	2.7620916579898328E7	2.796151975901886E7	27880000	27740000
FR0010446146	EUR	11	11	361900	361900	943627.2727272727	946181.8181818182	944900	944600
GB00B1VNSX38	GBX	66	56	31025	25436	6.071930701047542E7	6.124071001729832E7	61100000	60800000
NO0005668905	NOK	11	0	198	0	3.95E7	0.0	39500000	0
MISSING	MISSING	0	6	0	1344	0.0	4070916.6666666665	0	4060500
GB0001367019	GBX	459	489	232750	243230	5.45568141783029E7	5.504373662788308E7	54840000	54680000
DE0008232125	EUR	22	44	2816	43428	523281.25	746149.9493414387	550000	744000
GB0006667470	GBX	4	11	200	550	7.28E7	7.71090909090909E7	72900000	76600000
SE0000667891	SEK	1	0	5	0	2.438E7	0.0	24380000	0
GB00BF4JDH58	GBX	50	65	86724	107709	2.4779831419214983E7	2.5109871505630914E7	25050000	24850000
GB00B2QPKJ12	GBX	244	267	92152	90255	6.2575548875770465E7	6.3878418924159326E7	63760000	63020000
GB0009252882	GBX	938	898	228662	211917	1.637858774960422E8	1.679723065162304E8	165760000	165200000
CH0111677362	CHF	60	90	2558	2865	8652208.756841281	8810586.387434555	8750000	8700000
GB0006027295	GBX	45	34	20506	19224	3.266684385058032E7	3.3130612775697045E7	32950000	32750000
CH0009691608	CHF	22	39	566	810	2.1649734982332155E7	2.202462962962963E7	21750000	21750000
DE000A2YN900	EUR	11	0	12111	0	1300000.0	0.0	1300000	0
CH0002178181	CHF	54	15	4304	854	3899921.9330855017	4422386.416861827	4234000	4224000
GB00BMH18Q19	GBX	40	69	15521	20829	4.82869931061143E7	4.8850944356426135E7	48940000	48500000
GB0002148343	GBX	42	24	5260	3829	1.8672022813688213E8	1.8899764951684514E8	188200000	187600000
SE0007185418	SEK	11	0	22000	0	1.08E7	0.0	10800000	0
NO0010161896	NOK	0	1	0	37	0.0	2.144E7	0	21440000
GB0001500809	GBX	54	60	389109	242086	4791782.991398297	5286945.977875631	5084000	5012000
GB00BRB37M78	GBX	85	41	21192	10654	6.4723088901472256E7	6.821712971653838E7	68500000	66900000
FR0000120628	EUR	0	11	0	308	0.0	3000000.0	0	3000000
CH0010702154	CHF	48	73	919	1181	2.7791360174102284E7	2.8330245554614734E7	28040000	27960000
GB00BMX64W89	GBX	61	54	49570	50390	2.9124697195884608E7	2.9582840642984718E7	29500000	29120000
GB0007958233	GBX	39	46	49178	46438	1.3874884297856765E7	1.4095324734054007E7	14030000	13910000
ES0165386014	EUR	1	0	7	0	1511500.0	0.0	1511500	0
DE0007236101	EUR	22	11	660	121	1.2695E7	1.52E7	12950000	15200000
CH0012627250	CHF	55	134	2069	8967	3.0868366360560656E7	3.294491468718635E7	31200000	31200000
CH0496451508	CHF	49	80	16505	22871	1788972.3114207815	1930329.3253465088	1836000	1812000
GB00BKPG0S09	GBX	50	80	81762	104060	1.7119981654069126E7	1.739085585239285E7	17280000	17200000
GG00BPFJTF46	GBX	97	104	14326	14295	2.7698555074689376E8	2.8366649178034276E8	280000000	278000000
SE0001342395	SEK	11	11	3300	3300	6.678090909090909E7	6.706909090909091E7	67120000	66820000
ES0137650018	EUR	0	11	0	55	0.0	3800000.0	0	3800000
